@relation mass_shootings_data
%@attribute title String 
%@attribute location String
%@attribute summary string
@attribute fatalities numeric
@attribute injuries numeric
@attribute total_victims numeric
@attribute mental_health_issues {Yes,No,Unknown}
@attribute race {White_American,Black_American,Asian,Asian_American,Mexican,Unknown,Native_American,Other}
@attribute gender {Male,Female,Unknown,Male/Female}
@attribute Date date 'yyyy/MM/dd'
@attribute latitude real
@attribute longitude real

@data
4,0,3,'No','White_American','Male',2016/02/06,29.209684,-99.786168
2,2,3,'No','Unknown','Male',2016/01/29,38.044556,-77.286488
4,0,3,'Unknown','White_American','Male',2015/02/04,36.27617912,-80.35501402
8,0,8,'Unknown','Black_American','Male',2015/08/08,29.79705548,-95.36763856
5,3,8,'No','Unknown','Male',2016/03/09,40.441736,-79.881994
4,0,3,'No','White_American','Male',2016/03/20,38.252665,-85.758456
0,4,4,'No','Unknown','Unknown',2016/04/29,38.744217,-90.305391
0,5,5,'No','Unknown','Unknown',2016/03/11,40.217053,-74.742938
4,1,4,'Unknown','White_American','Male',2015/07/22,34.05057545,-84.06872262
2,1,3,'No','White_American','Male',2015/10/21,39.253268,-84.599655
4,0,3,'No','Unknown','Male',2016/03/21,33.635662,-96.60888
0,4,4,'No','White_American','Male',2016/04/09,35.085334,-106.605553
0,10,10,'Unknown','Black_American','Male',2015/09/27,33.02912644,-84.7143335
1,4,5,'No','Unknown','Unknown',2016/03/19,26.127586,-80.233104
2,3,5,'No','Black_American','Male',2015/12/06,41.3138,-96.0814
1,3,4,'No','Unknown','Unknown',2016/01/07,35.149534,-90.04898
3,0,3,'No','White_American','Male',2016/01/23,30.754181,-86.572799
1,3,4,'No','Black_American','Male',2016/01/17,37.40264,-76.458559
0,3,3,'No','Black_American','Male',2016/01/31,29.951066,-90.071532
3,5,8,'No','Unknown','Male',2016/01/30,33.538652,-112.185987
0,4,4,'No','Black_American','Male',2016/03/06,34.023243,-84.361556
0,4,4,'No','Unknown','Unknown',2016/03/05,37.687176,-97.330053
6,2,8,'No','White_American','Male',2016/02/20,42.291707,-85.587229
1,3,4,'No','Unknown','Unknown',2016/02/20,27.950575,-82.457178
3,4,7,'Unknown','Black_American','Male',2015/08/19,43.1696837,-77.614337
7,8,15,'Yes','White_American','Male',2003/07/08,32.376081,-88.68978002
0,5,5,'No','Unknown','Unknown',2016/04/07,41.878114,-87.629798
7,0,7,'Yes','Asian','Male',1999/11/02,21.3255125,-157.8473055
1,3,4,'No','Black_American','Male',2016/02/21,38.77144,-90.370949
3,14,17,'No','Black_American','Male',2016/02/25,?,?
6,5,11,'Yes','White_American','Male',2006/10/02,39.9589,-76.0806
2,2,3,'No','Unknown','Male',2016/03/12,34.111223,-82.867084
9,1,10,'Unknown','White_American','Male',2015/06/17,32.788387,-79.933143
4,1,4,'Unknown','Black_American','Male',2015/01/24,40.68996411,-73.8720502
5,7,12,'Unknown','Mexican','Male',2011/09/06,39.1637984,-119.7674034
5,6,11,'No','Mexican','Male',2017/01/06,?,?
0,4,4,'No','Unknown','Unknown',2016/03/13,26.640628,-81.872308
2,6,8,'No','Unknown','Unknown',2016/02/06,27.950575,-82.457178
6,1,7,'Yes','Black_American','Male',1996/02/09,26.1223084,-80.1433786
5,3,7,'Unknown','White_American','Male',2015/07/16,35.09318123,-85.23676751
2,2,4,'No','Unknown','Unknown',2016/03/11,42.331427,-83.045754
0,4,4,'No','Unknown','Unknown',2016/03/07,30.22409,-92.019843
0,4,4,'No','Unknown','Unknown',2016/04/09,35.149534,-90.04898
0,3,4,'No','Unknown','Unknown',2016/04/18,33.77005,-118.193739
0,5,5,'No','Unknown','Unknown',2016/02/21,29.760427,-95.369803
2,2,4,'No','Unknown','Unknown',2016/01/23,34.052234,-118.243685
1,4,5,'No','Unknown','Unknown',2016/04/19,41.878114,-87.629798
2,2,3,'No','White_American','Male',2016/03/25,34.759257,-86.602493
6,1,7,'Unknown','White_American','Male',2012/05/20,47.6038321,-122.3300624
12,70,82,'Unknown','White_American','Male',2012/07/20,39.709283,-104.823488
6,13,19,'Unknown','White_American','Male',2011/01/08,32.2217429,-110.926479
5,0,5,'Unknown','Asian','Male',2012/02/22,33.9412127,-84.2135309
3,2,5,'No','Asian','Male',2017/06/14,?,?
14,4,18,'Unknown','Asian','Male',2009/04/03,42.0986867,-75.9179738
7,2,9,'Yes','White_American','Male',2006/03/25,47.6229,-122.3165
0,6,6,'No','Black_American','Male',2016/04/24,36.765971,-78.928344
0,5,5,'No','Black_American','Male',2016/02/28,42.331427,-83.045754
4,0,4,'No','White_American','Male',2016/04/19,29.785785,-95.824396
5,0,4,'No','White_American','Male',2016/02/25,47.451459,-122.826946
7,0,7,'Yes','White_American','Male',2000/12/26,42.506484,-71.0728306
5,10,15,'Yes','White_American','Male',1998/03/24,35.8209895,-90.6682606
6,1,7,'Yes','White_American','Male',2007/10/07,45.5719072,-88.9028922
49,53,102,'No','Other','Male',2016/06/12,?,?
9,2,11,'Unknown','Black_American','Male',2010/08/03,41.7759324,-72.5214755
0,10,10,'Yes','Other','Male',2007/04/10,45.50216511,-122.4412759
5,0,4,'Unknown','Other','Male',2015/04/16,33.57145875,-112.0904854
4,16,19,'Unknown','Other','Male',2014/04/02,31.07925506,-97.73392317
2,3,5,'Unknown','Black_American','Male',2015/04/21,31.07925506,-97.73392317
