case,id,st,gender,race,mental,social,yes_bin,shooter
1,University of Texas at Austin,Texas,Male,White American or European American,1,1,1,yes
2,Rose-Mar College of Beauty,Arizona,Male,White American or European American,1,1,1,yes
3,New Orleans Police Shootings,Louisiana,Male,Black American or African American,1,0,1,yes
4,Clara Barton Elementary School,Illinois,Male,Unknown,1,1,1,yes
5,Olean High School,New York,Male,White American or European American,1,1,1,yes
6,Los Angeles Computer Learning Center,California,Male,White American or European American,0,1,1,yes
7,Cal State Fullerton,California,Male,White American or European American,1,1,1,yes
8,Grover Cleveland Elementary School,California,Female,White American or European American,1,0,1,yes
9,University of South Carolina,South Carolina,Male,Black American or African American,0,0,1,yes
10,Valley High School,Nevada,Male,White American or European American,1,1,1,yes
11,Welding shop in Miami,Florida,Male,White American or European American,1,1,1,yes
12,Wah Mee Club in Seattle,Washington,Male,Asian American,0,1,1,yes
13,Johnston Post Office,South Carolina,Male,White American or European American,1,1,1,yes
14,49th Street Elementary School,California,Male,Black American or African American,1,1,1,yes
15,Ianni's Club in Dallas,Texas,Male,White American or European American,1,1,1,yes
16,McDonald's restaurant in San Ysidro,California,Male,White American or European American,1,1,1,yes
17,Goddard Junior High School,Kansas,Male,White American or European American,1,1,1,yes
18,Atlanta Post Office,Georgia,Male,Black American or African American,1,1,1,yes
19,New York Technical College,New York,Male,Black American or African American,1,0,1,yes
20,"Post office in Edmond, Oklahoma",Oklahoma,Male,White American or European American,1,1,1,yes
21,Fergus County High School,Montana,Male,White American or European American,1,1,1,yes
22,Palm Bay Shopping Centers,Florida,Male,White American or European American,1,1,1,yes
23,Pinellas Park High School,Florida,Male,White American or European American,0,1,1,yes
24,Electromagnetic Systems Laboratory (ESL),California,Male,White American or European American,1,1,1,yes
25,Hubbard Woods Elementary School,Illinois,Female,White American or European American,1,1,1,yes
26,Comet Auto Parts and Montefiore School,Illinois,Male,Black American or African American,1,0,1,yes
27,Oakland Elementary School,South Carolina,Male,White American or European American,1,1,1,yes
28,New Orleans Downtown Post Office,Louisiana,Male,Unknown,0,1,1,yes
29,Cleveland Elementary School,California,Male,White American or European American,1,1,1,yes
30,Orange Glenn Post Office,California,Male,White American or European American,0,0,0,not
31,Standard Gravure Corporation,Kentucky,Male,White American or European American,1,1,1,yes
32,GMAC Loan Office,Florida,Male,Black American or African American,0,1,1,yes
33,University of Iowa,Iowa,Male,Asian American,0,1,1,yes
34,Ridgewood Post Office,New Jersey,Male,Black American or African American,1,1,1,yes
35,"Luby's Cafeteria in Killeen, Texas",Texas,Male,White American or European American,1,0,1,yes
36,Royal Oak Post Office,Michigan,Male,White American or European American,1,1,1,yes
37,Lindhurst High School,California,Male,White American or European American,1,1,1,yes
38,Palo Duro High School,Texas,Male,Unknown,0,1,1,yes
39,Schuyler County Office Building,New York,Male,White American or European American,0,1,1,yes
40,Simon's Rock College of Bard,Massachusetts,Male,Asian American,0,1,1,yes
41,Offices of Pettit & Martin in San Francisco,California,Male,White American or European American,0,1,1,yes
42,Dearborn Post Office,Michigan,Male,Unknown,0,1,1,yes
43,Dana Point Post Office,California,Male,White American or European American,1,1,1,yes
44,Weber State University,Utah,Male,Asian American,0,1,1,yes
45,Luigi's Restaurant in Fayetteville,North Carolina,Male,White American or European American,0,1,1,yes
46,Central Middle School,Wyoming,Male,White American or European American,0,1,1,yes
47,Long Island Rail Road Commuter Train,New York,Male,Black American or African American,0,1,1,yes
48,Chuck E. Cheese in Aurora,Colorado,Male,Black American or African American,1,1,1,yes
49,Chelsea High School,Michigan,Male,White American or European American,1,1,1,yes
50,"Residence in Union, Kentucky",Kentucky,Male,White American or European American,0,1,1,yes
51,Fairchild Air Force Base Hospital,Washington,Male,White American or European American,1,1,1,yes
52,Wickliffe Middle School,Ohio,Male,White American or European American,1,0,1,yes
53,Downtown Chapel Hill,North Carolina,Male,White American or European American,1,0,1,yes
54,Montclair Post Office,New Jersey,Male,White American or European American,0,1,1,yes
55,Walter Rossler Company,Texas,Male,Unknown,0,1,1,yes
56,Richland High School,Tennessee,Male,White American or European American,1,1,1,yes
57,Frontier Junior High School,Washington,Male,White American or European American,1,1,1,yes
58,Fort Lauderdale City Parks Office,Florida,Male,Black American or African American,0,1,1,yes
59,San Diego State University,California,Male,White American or European American,0,1,1,yes
60,Bethel Regional High School,Alaska,Male,White American or European American,1,1,1,yes
61,R.E. Phelon Company,South Carolina,Male,Black American or African American,0,1,1,yes
62,Pearl High School,Mississippi,Male,White American or European American,1,1,1,yes
63,Heath High School,Kentucky,Male,White American or European American,1,0,1,yes
64,Milwaukee Post Office,Wisconsin,Male,Black American or African American,0,1,1,yes
65,Caltrans Maintenance Yard,California,Male,Some other race,0,1,1,yes
66,Connecticut State Lottery Headquarters,Connecticut,Male,White American or European American,1,1,1,yes
67,Westside Middle School,Arkansas,Male,White American or European American,0,1,1,yes
68,Parker Middle School Dance,Pennsylvania,Male,White American or European American,1,0,1,yes
69,Thurston High School,Oregon,Male,White American or European American,1,0,1,yes
70,Riverside City Hall,California,Male,Black American or African American,0,1,1,yes
71,Columbine High School,Colorado,Male,White American or European American,1,1,1,yes
72,Heritage High School,Georgia,Male,White American or European American,0,1,1,yes
73,Offices of All-Tech Investment Group and Momentum Securities,Georgia,Male,White American or European American,1,1,1,yes
74,Wedgwood Baptist Church,Texas,Male,White American or European American,1,0,1,yes
75,Xerox Office Building,Hawaii,Male,Asian American,1,1,1,yes
76,Fort Gibson Middle School,Oklahoma,Male,White American or European American,0,0,0,not
77,Radisson Bay Harbor Inn,Florida,Male,Some other race,0,0,0,not
78,Edgewater Technology,Massachusetts,Male,Some other race,0,1,1,yes
79,Navistar International,Illinois,Male,Black American or African American,0,1,1,yes
80,Santana High School,California,Male,White American or European American,0,1,1,yes
81,Appalachian School of Law,Virginia,Male,Black American or African American,0,1,1,yes
82,University of Arizona College of Nursing,Arizona,Male,Some other race,0,1,1,yes
83,Case Western Reserve University,Ohio,Male,Asian American,0,1,1,yes
84,Lockheed Martin,Mississippi,Male,White American or European American,1,0,1,yes
85,Windy City Core Supply Warehouse,Illinois,Male,Some other race,0,1,1,yes
86,"Birchwood, Wisconsin",Wisconsin,Male,Asian American,0,1,1,yes
87,Damageplan show at the Alrosa Villa Nightclub,Ohio,Male,White American or European American,1,1,1,yes
88,Living Church of God,Wisconsin,Male,White American or European American,0,1,1,yes
89,Red Lake High School,Minnesota,Male,Native American or Alaska Native,1,1,1,yes
90,Goleta Post Office,California,Female,White American or European American,1,1,1,yes
91,"Party in Capitol Hill, Seattle",Washington,Male,White American or European American,0,1,1,yes
92,Essex Elementary School,Vermont,Male,Black American or African American,1,1,1,yes
93,Orange High School,North Carolina,Male,Some other race,1,1,1,yes
94,Duquesne University,Pennsylvania,Male,Black American or African American,0,1,1,yes
95,West Nickel Mines Amish School,Pennsylvania,Male,White American or European American,0,1,1,yes
96,Trolley Square,Utah,Male,White American or European American,1,1,1,yes
97,Springwater Trail High School,Oregon,Male,Some other race,0,1,1,yes
98,Virginia Tech  Campus,Virginia,Male,Asian American,1,0,1,yes
99,"Apartment in Crandon, Wisconsin",Wisconsin,Male,White American or European American,0,1,1,yes
100,SuccessTech Academy,Ohio,Male,White American or European American,1,1,1,yes
101,South Middle School Football Game,Michigan,Male,Black American or African American,0,1,1,yes
102,Westroads Mall,Nebraska,Male,White American or European American,1,0,1,yes
103,Youth With A Mission and New Life Church,Colorado,Male,White American or European American,1,1,1,yes
104,Mojave High School Bus,Nevada,Male,Black American or African American,0,1,1,yes
105,"Carnation, Washington",Washington,Male/Female,White American or European American,0,1,1,yes
106,Kirkwood City Hall,Missouri,Male,Black American or African American,0,1,1,yes
107,Northern Illinois University,Illinois,Male,White American or European American,1,1,1,yes
108,Atlantis Plastics,Kentucky,Male,White American or European American,0,1,1,yes
109,South Mountain Community College,Arizona,Male,Black American or African American,0,1,1,yes
110,University of Central Arkansas,Arkansas,Male,Black American or African American,0,1,1,yes
111,"Covina, California",California,Male,White American or European American,0,1,1,yes
112,"Geneva County, Alabama",Alabama,Male,White American or European American,0,1,1,yes
113,"Rivermark, Santa Clara, California",California,Male,Asian American,0,1,1,yes
114,Pinelake Health and Rehab nursing home,North Carolina,Male,White American or European American,1,1,1,yes
115,Immigration Services Center in Binghamton,New York,Male,Asian American,1,1,1,yes
116,Fort Hood Army Base,Texas,Male,White American or European American,1,1,1,yes
117,Parkland Coffee Shop,Washington,Male,Black American or African American,1,0,1,yes
